"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","2,072","454","869","704","45","16,295","976","2,347","5,610","3,576","1,712","1,434","640","(X)","(X)","2,683","2,406","549","2,756","2,192","313","6,624","5,591","830","4,232","2,783","382","","7,575","6,517","1,073","7,356","6,304","1,065","8,140","6,078","891","200","125","55","140","134","34","0","0","0","212","90","21","28","28","0","542","339","45","","(X)","(X)","(X)","(X)","","26,232","16,659","22,048","26,298","35,553","52,500"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.9%","41.9%","34.0%","2.2%","(X)","6.0%","14.4%","34.4%","21.9%","10.5%","8.8%","3.9%","79.6%","12.7%","(X)","89.7%","20.5%","(X)","79.5%","11.4%","(X)","84.4%","12.5%","(X)","65.8%","9.0%","","(X)","86.0%","14.2%","(X)","85.7%","14.5%","(X)","74.7%","10.9%","(X)","62.5%","27.5%","(X)","95.7%","24.3%","(X)","-","-","(X)","42.5%","9.9%","(X)","100.0%","0.0%","(X)","62.5%","8.3%","","42.4%","22.0%","14.7%","7.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Wake County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","92,766","11,085","21,221","44,626","15,834","656,256","22,875","27,633","106,154","116,894","54,107","209,531","119,062","(X)","(X)","147,795","136,352","77,399","155,239","143,043","87,273","253,348","237,908","126,813","99,874","88,445","37,108","","458,680","433,461","251,590","426,482","413,246","243,460","127,072","113,979","40,064","2,220","1,773","660","41,480","37,896","28,630","290","244","47","15,888","8,871","2,581","10,626","9,524","5,021","51,015","31,432","11,566","","(X)","(X)","(X)","(X)","","42,809","18,834","27,634","35,793","52,443","70,566"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","11.9%","22.9%","48.1%","17.1%","(X)","3.5%","4.2%","16.2%","17.8%","8.2%","31.9%","18.1%","92.3%","50.1%","(X)","92.3%","52.4%","(X)","92.1%","56.2%","(X)","93.9%","50.1%","(X)","88.6%","37.2%","","(X)","94.5%","54.9%","(X)","96.9%","57.1%","(X)","89.7%","31.5%","(X)","79.9%","29.7%","(X)","91.4%","69.0%","(X)","84.1%","16.2%","(X)","55.8%","16.2%","(X)","89.6%","47.3%","(X)","61.6%","22.7%","","27.1%","12.8%","7.4%","3.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,769","7,120","11,578","21,944","6,127","311,899","12,285","13,811","51,257","53,512","23,480","98,765","58,789","(X)","(X)","71,835","65,483","34,720","75,338","68,789","40,152","121,903","113,288","62,709","42,823","38,243","19,973","","222,068","208,212","123,910","205,593","198,792","120,162","55,453","49,299","14,873","1,150","936","376","20,141","18,789","14,985","145","122","24","8,220","4,246","1,097","4,722","4,199","2,289","25,969","14,739","5,207","","(X)","(X)","(X)","(X)","","51,626","21,848","30,902","42,212","69,873","95,476"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.2%","24.8%","46.9%","13.1%","(X)","3.9%","4.4%","16.4%","17.2%","7.5%","31.7%","18.8%","91.6%","50.5%","(X)","91.2%","48.3%","(X)","91.3%","53.3%","(X)","92.9%","51.4%","(X)","89.3%","46.6%","","(X)","93.8%","55.8%","(X)","96.7%","58.4%","(X)","88.9%","26.8%","(X)","81.4%","32.7%","(X)","93.3%","74.4%","(X)","84.1%","16.6%","(X)","51.7%","13.3%","(X)","88.9%","48.5%","(X)","56.8%","20.1%","","21.0%","11.1%","6.0%","3.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,997","3,965","9,643","22,682","9,707","344,357","10,590","13,822","54,897","63,382","30,627","110,766","60,273","(X)","(X)","75,960","70,869","42,679","79,901","74,254","47,121","131,445","124,620","64,104","57,051","50,202","17,135","","236,612","225,249","127,680","220,889","214,454","123,298","71,619","64,680","25,191","1,070","837","284","21,339","19,107","13,645","145","122","23","7,668","4,625","1,484","5,904","5,325","2,732","25,046","16,693","6,359","","(X)","(X)","(X)","(X)","","36,524","13,756","22,273","30,550","42,742","54,713"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.6%","21.0%","49.3%","21.1%","(X)","3.1%","4.0%","15.9%","18.4%","8.9%","32.2%","17.5%","92.9%","49.7%","(X)","93.3%","56.2%","(X)","92.9%","59.0%","(X)","94.8%","48.8%","(X)","88.0%","30.0%","","(X)","95.2%","54.0%","(X)","97.1%","55.8%","(X)","90.3%","35.2%","(X)","78.2%","26.5%","(X)","89.5%","63.9%","(X)","84.1%","15.9%","(X)","60.3%","19.4%","(X)","90.2%","46.3%","(X)","66.6%","25.4%","","33.6%","14.4%","8.5%","3.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Warren County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,032","543","959","411","119","14,437","791","2,213","5,102","3,113","1,105","1,280","833","(X)","(X)","1,862","1,405","270","2,071","1,723","234","6,100","5,071","883","4,404","3,234","726","","6,207","5,383","1,232","6,065","5,340","1,232","7,011","5,347","727","653","361","72","80","60","14","0","0","0","126","24","20","360","258","48","369","159","7","","(X)","(X)","(X)","(X)","","27,100","16,580","26,261","27,399","34,228","40,440"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.7%","47.2%","20.2%","5.9%","(X)","5.5%","15.3%","35.3%","21.6%","7.7%","8.9%","5.8%","79.2%","14.6%","(X)","75.5%","14.5%","(X)","83.2%","11.3%","(X)","83.1%","14.5%","(X)","73.4%","16.5%","","(X)","86.7%","19.8%","(X)","88.0%","20.3%","(X)","76.3%","10.4%","(X)","55.3%","11.0%","(X)","75.0%","17.5%","(X)","-","-","(X)","19.0%","15.9%","(X)","71.7%","13.3%","(X)","43.1%","1.9%","","40.8%","17.5%","15.1%","5.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,249","434","557","225","33","7,029","495","1,236","2,622","1,467","386","431","392","(X)","(X)","923","573","52","1,098","864","70","3,063","2,450","348","1,945","1,411","353","","3,101","2,600","521","3,020","2,580","521","3,291","2,385","239","299","156","39","57","57","11","0","0","0","88","2","0","193","98","13","205","44","0","","(X)","(X)","(X)","(X)","","30,779","16,976","30,022","37,524","40,357","55,417"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.7%","44.6%","18.0%","2.6%","(X)","7.0%","17.6%","37.3%","20.9%","5.5%","6.1%","5.6%","75.4%","11.7%","(X)","62.1%","5.6%","(X)","78.7%","6.4%","(X)","80.0%","11.4%","(X)","72.5%","18.1%","","(X)","83.8%","16.8%","(X)","85.4%","17.3%","(X)","72.5%","7.3%","(X)","52.2%","13.0%","(X)","100.0%","19.3%","(X)","-","-","(X)","2.3%","0.0%","(X)","50.8%","6.7%","(X)","21.5%","0.0%","","36.2%","14.3%","9.8%","5.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","783","109","402","186","86","7,408","296","977","2,480","1,646","719","849","441","(X)","(X)","939","832","218","973","859","164","3,037","2,621","535","2,459","1,823","373","","3,106","2,783","711","3,045","2,760","711","3,720","2,962","488","354","205","33","23","3","3","0","0","0","38","22","20","167","160","35","164","115","7","","(X)","(X)","(X)","(X)","","25,952","15,733","23,828","25,704","33,493","37,125"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13.9%","51.3%","23.8%","11.0%","(X)","4.0%","13.2%","33.5%","22.2%","9.7%","11.5%","6.0%","82.8%","17.4%","(X)","88.6%","23.2%","(X)","88.3%","16.9%","(X)","86.3%","17.6%","(X)","74.1%","15.2%","","(X)","89.6%","22.9%","(X)","90.6%","23.3%","(X)","79.6%","13.1%","(X)","57.9%","9.3%","(X)","13.0%","13.0%","(X)","-","-","(X)","57.9%","52.6%","(X)","95.8%","21.0%","(X)","70.1%","4.3%","","46.1%","20.6%","18.9%","5.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Washington County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,115","283","473","313","46","8,641","675","1,117","3,256","2,023","734","559","277","(X)","(X)","995","822","54","1,403","984","90","3,596","3,146","345","2,647","1,897","347","","4,665","3,884","558","4,488","3,864","558","3,908","2,915","269","18","3","0","0","0","0","0","0","0","26","26","1","24","21","8","206","46","1","","(X)","(X)","(X)","(X)","","25,442","26,798","22,031","26,485","-","40,583"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25.4%","42.4%","28.1%","4.1%","(X)","7.8%","12.9%","37.7%","23.4%","8.5%","6.5%","3.2%","79.3%","9.7%","(X)","82.6%","5.4%","(X)","70.1%","6.4%","(X)","87.5%","9.6%","(X)","71.7%","13.1%","","(X)","83.3%","12.0%","(X)","86.1%","12.4%","(X)","74.6%","6.9%","(X)","16.7%","0.0%","(X)","-","-","(X)","-","-","(X)","100.0%","3.8%","(X)","87.5%","33.3%","(X)","22.3%","0.5%","","33.5%","16.4%","14.4%","12.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","646","215","358","54","19","3,812","361","352","1,710","715","300","248","126","(X)","(X)","417","339","21","529","308","45","1,737","1,557","125","1,129","895","183","","2,172","1,793","305","2,064","1,793","305","1,589","1,268","68","13","3","0","0","0","0","0","0","0","26","26","1","12","9","0","137","26","1","","(X)","(X)","(X)","(X)","","35,993","33,419","33,793","40,380","48,309","63,958"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.3%","55.4%","8.4%","2.9%","(X)","9.5%","9.2%","44.9%","18.8%","7.9%","6.5%","3.3%","81.3%","9.8%","(X)","81.3%","5.0%","(X)","58.2%","8.5%","(X)","89.6%","7.2%","(X)","79.3%","16.2%","","(X)","82.6%","14.0%","(X)","86.9%","14.8%","(X)","79.8%","4.3%","(X)","23.1%","0.0%","(X)","-","-","(X)","-","-","(X)","100.0%","3.8%","(X)","75.0%","0.0%","(X)","19.0%","0.7%","","20.1%","15.3%","3.9%","7.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","469","68","115","259","27","4,829","314","765","1,546","1,308","434","311","151","(X)","(X)","578","483","33","874","676","45","1,859","1,589","220","1,518","1,002","164","","2,493","2,091","253","2,424","2,071","253","2,319","1,647","201","5","0","0","0","0","0","0","0","0","0","0","0","12","12","8","69","20","0","","(X)","(X)","(X)","(X)","","18,336","8,691","17,725","21,117","-","-"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14.5%","24.5%","55.2%","5.8%","(X)","6.5%","15.8%","32.0%","27.1%","9.0%","6.4%","3.1%","77.7%","9.6%","(X)","83.6%","5.7%","(X)","77.3%","5.1%","(X)","85.5%","11.8%","(X)","66.0%","10.8%","","(X)","83.9%","10.1%","(X)","85.4%","10.4%","(X)","71.0%","8.7%","(X)","0.0%","0.0%","(X)","-","-","(X)","-","-","(X)","-","-","(X)","100.0%","66.7%","(X)","29.0%","0.0%","","42.3%","17.6%","20.6%","17.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Watauga County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,374","394","2,070","12,650","1,260","29,439","1,252","2,279","6,164","6,060","2,228","6,690","4,766","(X)","(X)","5,530","5,106","2,078","4,692","4,322","2,188","11,793","10,274","4,386","7,424","6,206","2,804","","28,310","25,103","11,247","27,911","24,796","11,182","263","181","57","148","91","3","114","89","38","14","9","2","282","134","0","308","301","109","724","483","65","","(X)","(X)","(X)","(X)","","30,309","17,679","25,992","25,580","34,567","51,455"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","2.4%","12.6%","77.3%","7.7%","(X)","4.3%","7.7%","20.9%","20.6%","7.6%","22.7%","16.2%","88.0%","38.9%","(X)","92.3%","37.6%","(X)","92.1%","46.6%","(X)","87.1%","37.2%","(X)","83.6%","37.8%","","(X)","88.7%","39.7%","(X)","88.8%","40.1%","(X)","68.8%","21.7%","(X)","61.5%","2.0%","(X)","78.1%","33.3%","(X)","64.3%","14.3%","(X)","47.5%","0.0%","(X)","97.7%","35.4%","(X)","66.7%","9.0%","","34.1%","16.6%","15.9%","7.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,255","287","1,152","6,341","475","14,471","703","1,257","3,236","2,897","779","3,113","2,486","(X)","(X)","2,984","2,742","1,073","2,375","2,116","1,027","5,680","4,777","1,902","3,432","2,876","1,597","","13,876","12,084","5,525","13,660","11,954","5,508","184","111","17","72","51","3","26","1","1","9","9","2","182","133","0","122","122","51","429","294","17","","(X)","(X)","(X)","(X)","","32,127","20,000","27,126","31,095","40,460","54,803"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","3.5%","14.0%","76.8%","5.8%","(X)","4.9%","8.7%","22.4%","20.0%","5.4%","21.5%","17.2%","86.5%","38.7%","(X)","91.9%","36.0%","(X)","89.1%","43.2%","(X)","84.1%","33.5%","(X)","83.8%","46.5%","","(X)","87.1%","39.8%","(X)","87.5%","40.3%","(X)","60.3%","9.2%","(X)","70.8%","4.2%","(X)","3.8%","3.8%","(X)","100.0%","22.2%","(X)","73.1%","0.0%","(X)","100.0%","41.8%","(X)","68.5%","4.0%","","30.0%","16.7%","13.7%","8.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,119","107","918","6,309","785","14,968","549","1,022","2,928","3,163","1,449","3,577","2,280","(X)","(X)","2,546","2,364","1,005","2,317","2,206","1,161","6,113","5,497","2,484","3,992","3,330","1,207","","14,434","13,019","5,722","14,251","12,842","5,674","79","70","40","76","40","0","88","88","37","5","0","0","100","1","0","186","179","58","295","189","48","","(X)","(X)","(X)","(X)","","26,837","16,071","22,799","22,619","31,474","46,032"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","1.3%","11.3%","77.7%","9.7%","(X)","3.7%","6.8%","19.6%","21.1%","9.7%","23.9%","15.2%","89.5%","39.1%","(X)","92.9%","39.5%","(X)","95.2%","50.1%","(X)","89.9%","40.6%","(X)","83.4%","30.2%","","(X)","90.2%","39.6%","(X)","90.1%","39.8%","(X)","88.6%","50.6%","(X)","52.6%","0.0%","(X)","100.0%","42.0%","(X)","0.0%","0.0%","(X)","1.0%","0.0%","(X)","96.2%","31.2%","(X)","64.1%","16.3%","","39.4%","16.5%","17.6%","6.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Wayne County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
